카메라 번호,주소,상세 설명,측정 시작 시간,측정 종료 시간,카메라 통과 인원 (IN),카메라 통과 인원 (OUT),데이터입력시간
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 1:50,2020-03-01 2:00,16,29,2020-03-01 2:00
2,계동길 69,계동교회 앞,2020-03-01 2:00,2020-03-01 2:10,39,34,2020-03-01 2:10
1,율곡로3길 50,덕성여고 앞,2020-03-01 2:00,2020-03-01 2:10,55,24,2020-03-01 2:10
3,북촌로11길 1,돈미약국 앞,2020-03-01 2:00,2020-03-01 2:10,29,23,2020-03-01 2:10
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 2:00,2020-03-01 2:10,16,32,2020-03-01 2:10
2,계동길 69,계동교회 앞,2020-03-01 2:10,2020-03-01 2:20,39,34,2020-03-01 2:20
1,율곡로3길 50,덕성여고 앞,2020-03-01 2:10,2020-03-01 2:20,55,24,2020-03-01 2:20
3,북촌로11길 1,돈미약국 앞,2020-03-01 2:10,2020-03-01 2:20,29,23,2020-03-01 2:20
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 2:10,2020-03-01 2:20,16,32,2020-03-01 2:20
2,계동길 69,계동교회 앞,2020-03-01 2:20,2020-03-01 2:30,41,35,2020-03-01 2:30
1,율곡로3길 50,덕성여고 앞,2020-03-01 2:20,2020-03-01 2:30,55,24,2020-03-01 2:30
3,북촌로11길 1,돈미약국 앞,2020-03-01 2:20,2020-03-01 2:30,29,23,2020-03-01 2:30
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 2:20,2020-03-01 2:30,16,32,2020-03-01 2:30
2,계동길 69,계동교회 앞,2020-03-01 2:30,2020-03-01 2:40,42,35,2020-03-01 2:40
1,율곡로3길 50,덕성여고 앞,2020-03-01 2:30,2020-03-01 2:40,55,24,2020-03-01 2:40
3,북촌로11길 1,돈미약국 앞,2020-03-01 2:30,2020-03-01 2:40,37,23,2020-03-01 2:40
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 2:30,2020-03-01 2:40,16,32,2020-03-01 2:40
2,계동길 69,계동교회 앞,2020-03-01 2:40,2020-03-01 2:50,50,52,2020-03-01 2:50
1,율곡로3길 50,덕성여고 앞,2020-03-01 2:40,2020-03-01 2:50,67,24,2020-03-01 2:50
3,북촌로11길 1,돈미약국 앞,2020-03-01 2:40,2020-03-01 2:50,56,25,2020-03-01 2:50
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 2:40,2020-03-01 2:50,16,34,2020-03-01 2:50
2,계동길 69,계동교회 앞,2020-03-01 2:50,2020-03-01 3:00,50,52,2020-03-01 3:00
1,율곡로3길 50,덕성여고 앞,2020-03-01 2:50,2020-03-01 3:00,67,24,2020-03-01 3:00
3,북촌로11길 1,돈미약국 앞,2020-03-01 2:50,2020-03-01 3:00,56,25,2020-03-01 3:00
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 2:50,2020-03-01 3:00,23,35,2020-03-01 3:00
2,계동길 69,계동교회 앞,2020-03-01 3:00,2020-03-01 3:10,50,54,2020-03-01 3:10
1,율곡로3길 50,덕성여고 앞,2020-03-01 3:00,2020-03-01 3:10,67,24,2020-03-01 3:10
3,북촌로11길 1,돈미약국 앞,2020-03-01 3:00,2020-03-01 3:10,56,25,2020-03-01 3:10
4,북촌로5가길 38,삼청파출소 사잇길,2020-03-01 3:00,2020-03-01 3:10,23,41,2020-03-01 3:10
2,계동길 69,계동교회 앞,2020-03-01 3:10,2020-03-01 3:20,50,54,2020-03-01 3:20
1,율곡로3길 50,덕성여고 앞,2020-03-01 3:10,2020-03-01 3:20,69,27,2020-03-01 3:20
3,북촌로11길 1,돈미약국 앞,2020-03-01 3:10,2020-03-01 3:20,56,26,2020-03-01 3:20
