date,cold,flu,pneumonia,coronavirus
2020-01-01,0.14454,0.48434,0.4488,0.01699
2020-01-02,0.19508,0.85751,0.36471,0.01827
2020-01-03,0.19581,0.80443,0.46598,0.02845
2020-01-04,0.60343,0.86961,0.49571,0.02136
2020-01-05,0.20081,0.84152,0.41644,0.01927
2020-01-06,0.23081,1.1816,0.66088,0.03154
2020-01-07,0.20853,0.96233,0.5777,0.03927
2020-01-08,0.1949,0.81824,11.3932,0.02636
2020-01-09,0.1979,0.77115,8.93,39.62181
2020-01-10,0.17854,0.72197,0.62352,11.13921
2020-01-11,0.15872,0.5578,0.66398,0.50434
2020-01-12,0.16199,0.50962,0.42062,0.21144
2020-01-13,0.17744,0.83315,0.56871,0.19244
2020-01-14,0.16708,0.7147,0.49453,0.25108
2020-01-15,0.15999,0.5947,0.48116,0.15535
2020-01-16,0.16754,0.5917,0.79143,0.38498
2020-01-17,0.1659,0.56916,0.79361,0.55043
2020-01-18,0.14345,0.42089,0.55216,0.26262
2020-01-19,0.15217,0.39953,0.61598,0.32662
2020-01-20,0.19217,0.70343,3.63716,20.6961
2020-01-21,0.22462,0.59789,4.31987,35.33284
2020-01-22,0.23808,0.56661,3.66416,29.74474
2020-01-23,0.30308,0.55625,3.18035,100
2020-01-24,0.34689,0.40226,2.48156,86.11541
2020-01-25,0.70888,0.39744,3.40926,62.84847
2020-01-26,0.96569,0.40126,3.43989,39.62772
2020-01-27,1.39513,0.50253,4.38777,57.07446
2020-01-28,1.56922,0.64298,4.5434,72.63073
2020-01-29,1.19978,0.49207,2.73,52.06261
2020-01-30,0.98978,0.44953,2.17811,45.93889
2020-01-31,1.35841,0.84061,2.1802,58.4187
2020-02-01,1.29296,0.79288,1.44032,41.5073
2020-02-02,1.4925,0.45298,1.37923,41.73647
2020-02-03,1.20932,0.49516,1.33886,50.1994
2020-02-04,1.06169,0.37907,0.99397,37.28806
2020-02-05,1.09323,0.34444,0.85588,35.23094
2020-02-06,1.03724,0.31644,0.79524,39.3959
2020-02-07,0.91715,0.25808,0.80733,31.71404
2020-02-08,0.89597,0.18081,0.53789,40.46614
2020-02-09,0.77052,0.17208,0.46189,36.07691
2020-02-10,0.63816,0.21499,0.50871,52.11234
2020-02-11,0.5338,0.17072,0.40544,18.13918
2020-02-12,0.47862,0.15281,0.37889,15.90997
2020-02-13,0.38444,0.13999,0.37753,15.08472
